                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3364,                   3.16,                 1.7986,                0.74248,                0.73143,                0.77235,                0.59148,                0.75254,                 4.8968,                 1.2891,                 0.0002,                 0.0002,                 0.0002
                      2,                0.80794,                 1.3317,                  1.224,                0.84677,                0.98286,                0.98763,                0.74425,                0.78819,                 4.0469,                 1.2791,              0.0004011,              0.0004011,              0.0004011
                      3,                0.76091,                 0.9069,                 1.1509,                0.82545,                0.91878,                0.95077,                0.71546,                0.82429,                 2.9731,                 1.2407,              0.0005824,              0.0005824,              0.0005824
                      4,                0.82197,                0.86986,                 1.1583,                 0.8532,                0.99631,                0.99098,                0.75544,                0.80363,                 2.3276,                 1.3569,              0.0007439,              0.0007439,              0.0007439
                      5,                0.83652,                0.82539,                 1.1514,                0.88464,                0.87643,                0.94233,                0.71391,                0.83375,                  1.016,                 1.2433,              0.0008856,              0.0008856,              0.0008856
                      6,                0.78177,                0.72329,                 1.1115,                0.81957,                0.83429,                0.88231,                0.57737,                 1.0352,                 1.6345,                 1.4921,              0.0010075,              0.0010075,              0.0010075
                      7,                0.75056,                0.65279,                 1.0994,                0.91096,                0.96571,                0.97942,                0.77822,                0.73306,                 1.8183,                 1.1764,              0.0011096,              0.0011096,              0.0011096
                      8,                0.84633,                0.66636,                 1.1632,                0.83738,                0.84571,                0.90489,                0.57564,                 1.0964,                 1.1473,                 1.5355,              0.0011919,              0.0011919,              0.0011919
                      9,                0.77786,                0.63514,                 1.1186,                0.82462,                0.92571,                0.94111,                0.53474,                 1.1088,                  1.176,                 1.5244,              0.0012544,              0.0012544,              0.0012544
                     10,                0.81767,                0.63226,                 1.1215,                0.86101,                0.88571,                 0.9424,                0.68574,                0.88158,                0.93721,                 1.2542,                0.00119,                0.00119,                0.00119
                     11,                0.78614,                0.65624,                 1.1362,                0.91456,                0.91429,                0.96366,                0.70337,                 1.0105,                0.86705,                 1.3907,                0.00119,                0.00119,                0.00119
                     12,                0.78309,                0.61557,                 1.1305,                0.89611,                0.93651,                0.96838,                0.69868,                0.98528,                  0.926,                 1.4486,                 0.0011,                 0.0011,                 0.0011
                     13,                0.68351,                0.58629,                 1.1256,                0.94764,                   0.96,                0.99031,                0.74698,                0.84153,                0.67932,                 1.3021,                0.00101,                0.00101,                0.00101
                     14,                0.61545,                 0.4919,                 1.0355,                0.93931,                0.94857,                0.98164,                0.82179,                0.67134,                0.72313,                 1.1065,                0.00092,                0.00092,                0.00092
                     15,                0.62952,                0.47951,                 1.0741,                0.96658,                 0.9916,                0.99308,                0.86094,                0.57933,                0.62018,                 1.0398,                0.00083,                0.00083,                0.00083
                     16,                0.60741,                0.46452,                 1.0471,                0.97697,                0.96956,                0.99254,                0.86712,                0.55849,                0.55848,                 1.0042,                0.00074,                0.00074,                0.00074
                     17,                0.57931,                   0.42,                 1.0205,                0.96628,                0.99429,                0.99319,                0.85059,                0.58886,                  0.522,                 1.0227,                0.00065,                0.00065,                0.00065
                     18,                 0.5478,                0.41104,                 0.9837,                0.98869,                0.99898,                0.99425,                0.87902,                0.53242,                0.42364,                0.97671,                0.00056,                0.00056,                0.00056
                     19,                0.55637,                 0.4075,                 1.0157,                0.97755,                0.99545,                0.99385,                0.88021,                0.52368,                0.41774,                0.98189,                0.00047,                0.00047,                0.00047
                     20,                0.50765,                0.37598,                0.99491,                 0.9943,                0.99649,                  0.995,                0.90195,                0.45085,                0.35629,                0.93482,                0.00038,                0.00038,                0.00038
                     21,                0.51209,                0.37263,                0.98664,                0.99357,                      1,                  0.995,                0.90214,                0.43708,                0.33355,                0.91887,                0.00029,                0.00029,                0.00029
                     22,                0.47174,                0.33513,                0.95421,                      1,                0.99958,                  0.995,                0.90752,                0.43297,                0.32515,                0.91729,                 0.0002,                 0.0002,                 0.0002
